Angle,Upper,Down
-300,105.7,150.7
-250,90.7,201.7
-200,90.7,249.7
-150,90.7,292.7
-100,90.7,331.7
-50,90.7,365.7
0,90.7,380.7
50,90.7,372.7
63,90.7,367.7
100,90.7,285.7
150,90.7,205.7
200,90.7,142.7
250,122.7,90.7
300,178.7,90.7
