Angle,Upper,Down
106,172.7,257.7
107,173.7,256.7
108,174.7,254.7
109,175.7,253.7
110,176.7,252.7
111,176.7,250.7
112,177.7,249.7
113,178.7,248.7
114,179.7,246.7
115,180.7,245.7
116,180.7,244.7
117,181.7,242.7
118,182.7,241.7
119,183.7,240.7
120,184.7,238.7
121,185.7,237.7
122,186.7,236.7
123,186.7,234.7
124,187.7,233.7
125,188.7,232.7
126,189.7,231.7
127,190.7,230.7
128,191.7,228.7
129,192.7,227.7
130,192.7,226.7
131,193.7,224.7
132,194.7,223.7
133,195.7,222.7
134,196.7,221.7
135,197.7,220.7
136,198.7,218.7
137,198.7,217.7
138,199.7,216.7
139,200.7,215.7
140,201.7,214.7
141,202.7,212.7
142,203.7,211.7
143,204.7,210.7
144,205.7,209.7
145,205.7,208.7
146,206.7,206.7
